# Time	forces(pressure, viscous) moment(pressure, viscous)
400	(((-5.9461 -2.68219e-05 529.364) (0.623395 -0.849953 0.00415507)) ((6.02474 -259.282 -0.00239713) (0.00371071 -0.0583139 -0.473944)))
410	(((-5.89237 -2.45593e-05 516.196) (0.587793 -0.821502 0.00937166)) ((6.43533 -253.613 -0.00341466) (0.00445674 -0.0612104 -0.447563)))
420	(((-5.84388 -2.29832e-05 503.771) (0.555208 -0.794748 0.0142252)) ((6.81802 -248.138 -0.00419662) (0.00521569 -0.063792 -0.423625)))
430	(((-5.80024 -2.19724e-05 492.08) (0.525185 -0.769313 0.0187454)) ((7.16541 -242.89 -0.00483788) (0.00597688 -0.066107 -0.401585)))
440	(((-5.76133 -2.14552e-05 481.113) (0.497406 -0.744933 0.0229679)) ((7.46918 -237.892 -0.00543003) (0.00672019 -0.068199 -0.381056)))
450	(((-5.72635 -2.12679e-05 470.852) (0.471628 -0.721428 0.026917)) ((7.72203 -233.157 -0.00602947) (0.00742172 -0.0701027 -0.361773)))
460	(((-5.69541 -2.13364e-05 461.267) (0.447601 -0.698678 0.0306292)) ((7.92062 -228.687 -0.00667148) (0.00808543 -0.0718501 -0.343536)))
470	(((-5.67007 -2.1615e-05 452.421) (0.425164 -0.676587 0.0341366)) ((8.06384 -224.512 -0.00739081) (0.00870739 -0.0734689 -0.326197)))
480	(((-5.64608 -2.21522e-05 444.137) (0.404172 -0.655072 0.0374729)) ((8.15373 -220.578 -0.00822222) (0.00928292 -0.0749844 -0.309664)))
490	(((-5.6257 -2.3099e-05 436.482) (0.384534 -0.634076 0.0406551)) ((8.19188 -216.911 -0.00922601) (0.00980723 -0.0764121 -0.293876)))
500	(((-5.60783 -2.475e-05 429.345) (0.366185 -0.613558 0.0436999)) ((8.17961 -213.467 -0.0105202) (0.010273 -0.0777665 -0.278779)))
